created_at,transaction_id,entity_id,product_id,product_name,industry,amount,currency,country,location,beneficiary,tenor,maturity_date,price
15-Jan-23,10001,1,1,Credit Guarantee,Manufacturing,500000,USD,USA,"New York, NY",Global Steel Corp,90,30-Jun-24,5.25
16-Jan-23,10002,2,1,Credit Guarantee,Agriculture,750000,EUR,Germany,Hamburg,European Grains GmbH,120,30-Jul-24,4.75
17-Feb-23,10003,3,1,Credit Guarantee,Energy,1200000,USD,UAE,Dubai,Solar Solutions LLC,180,28-Sep-24,6
18-Mar-23,10004,1,1,Credit Guarantee,Automotive,300000,JPY,Japan,Tokyo,Toyota Suppliers Co,60,31-May-24,4.5
19-Mar-23,10005,4,1,Credit Guarantee,Technology,850000,USD,Singapore,Singapore,Tech Components Pte,45,17-May-24,5
20-May-23,10006,2,1,Credit Guarantee,Textiles,600000,CNY,China,Shanghai,Silk Road Textiles,150,30-Aug-24,5.75
21-Jun-23,10007,5,1,Credit Guarantee,Pharmaceuticals,950000,USD,Switzerland,Basel,MediCare AG,90,1-Jul-24,4.25
22-Jun-23,10008,3,1,Credit Guarantee,Construction,400000,AED,UAE,Abu Dhabi,Desert Builders LLC,365,2-Apr-25,6.5
23-Aug-23,10009,1,1,Credit Guarantee,Electronics,700000,USD,Taiwan,Taipei,Circuit Systems Co,75,17-Jun-24,5.15
24-Sep-23,10010,4,1,Credit Guarantee,Retail,550000,GBP,UK,London,British Retail Group,30,3-May-24,4.8
