transaction_id,name,type,address,country
10001,BANK AL HABIB LIMITED,Issuing Bank,"2ND FLOOR, MACKINNONS BUILDING I.I. CHUNDRIGAR ROAD KARACHI PAKISTAN /BAHLPKKAXXX/",PAKISTAN
10001,BNP PARIBAS APAC TRADE,Confirming Bank/Requesting Bank,85 93 RUE DES 3 FONTANOT 92000 NANTERRE FRANCE /BNPAFRPPXXX/,FRANCE
10002,BANK AL HABIB LIMITED,Issuing Bank,"2ND FLOOR, MACKINNONS BUILDING I.I. CHUNDRIGAR ROAD KARACHI PAKISTAN /BAHLPKKAXXX/",PAKISTAN
10002,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",Confirming Bank/Requesting Bank,"575 WASHINGTON BLVD, FLOOR 18, JERSEY CITY 07310-1616 UNITED STATES OF AMERICA /CHASUS33/",UNITED STATES OF AMERICA
10002,QINGDAO BEIXIANG INTERNATIONAL TRADING CO. LTD,Applicant,"ROOM 801, CHUANGZHI BUILDING A, CHUNYANG ROAD, CHENGYANG DISTRICT, QINGDAO, SHANGDONG PROVINCE, CHINA",CHINA
10002,"NINGBO SENLANG INTERNATIONAL TRADE CO., LTD",Applicant,"ROOM 1925, NO.12, BUILDING 1, MEISHAN SALT FIELD, BEILUN DISTRICT, NINGBO CITY, ZHEJIANG PROVINCE, CHINA",CHINA
10002,QINGDAO RUNSHENGRONGINTERNATIONAL TRADING CO. LTD,Applicant,"9TH FLOOR, ZHONGXIN BUILDING, NO.247 LIAONING ROAD, SHIBEI DISTRICT, SHANGDONG, CHINA",CHINA
10002,"QINGDAO SIPING RUBBER CO., LTD",Applicant,"ROOM 1901, INTERNATIONAL TRADE CENTER B, NO.226, CHANGJIANG MIDDLE ROAD, DEVELOPMENT ZONE, QINGDAO, CHINA",CHINA
10002,"WENZHOU KAIXI TRADING CO., LTD",Applicant,"KX, ZHANGTAI COMMUNITY, DAXUE TOWN, WENCHENG COUNTY, WENZHOU, ZHEJANG PROVICE, CHINA",CHINA
10002,PAK ARAB REFINERY LIMITED,Beneficiary,"CORPORATE HEADQUARTERS, KORANGI CREEK ROAD, KARACHI, PAKISTAN",PAKISTAN
,,,,
